标题,播放数,链接
攒了一大堆好听的歌想和你一起听,1875万,https://music.163.com/#/playlist?id=2353471182
提神醒脑 疯狂抖腿魔性摇头.GIF,718万,https://music.163.com/#/playlist?id=2364146680
最是粤语最为情深 也唯独你最难忘怀,692万,https://music.163.com/#/playlist?id=2388322013
单循辑｜我想和你共享耳机,1161万,https://music.163.com/#/playlist?id=2337333174
这些歌名连起来，是我暗恋你多年的秘密,1635万,https://music.163.com/#/playlist?id=2301753292
这世界上情歌那么多，却没有一首属于我,1391万,https://music.163.com/#/playlist?id=2335662972
有故事的男生，唱着有故事的歌,719万,https://music.163.com/#/playlist?id=2333142183
听了几个故事，正好讲给你玩,604万,https://music.163.com/#/playlist?id=2298138241
《中国新说唱》入围选手作品合集,641万,https://music.163.com/#/playlist?id=2291115145
给你一张2008年的CD。,937万,https://music.163.com/#/playlist?id=2352800595
100句情话我只唱给你听,671万,https://music.163.com/#/playlist?id=2339316534
把思恋化为等待，借歌名孤独自白,665万,https://music.163.com/#/playlist?id=2341435171
“我爱你”的100种表达方式,776万,https://music.163.com/#/playlist?id=2314313405
安然面对孤独，不畏惧孤独感,646万,https://music.163.com/#/playlist?id=2360129270
三字华语 | 道不清的简单排列，字字扎心,650万,https://music.163.com/#/playlist?id=2287425319
『华语女声』糟糕！是心动的感觉,1381万,https://music.163.com/#/playlist?id=2259687728
我不丧，只是在心情差时碰巧多听了几首歌,644万,https://music.163.com/#/playlist?id=2252736518
提及年少一词，应与平庸相斥,581万,https://music.163.com/#/playlist?id=2255796408
有意思！这些歌的歌名居然对着唱反调,746万,https://music.163.com/#/playlist?id=2246886256
励志摇滚 · 人生本是永无止境的攀登,624万,https://music.163.com/#/playlist?id=2246462833
予你情诗百首，余生你是我的所有,1505万,https://music.163.com/#/playlist?id=2230318386
【经典】聼一首老歌，想念一段时光,1062万,https://music.163.com/#/playlist?id=2236351380
耳朵喜欢你 好听到可以单曲循环,3048万,https://music.163.com/#/playlist?id=2232237850
T台节奏BGM•听完这单 谁还不是个超模咋地?,841万,https://music.163.com/#/playlist?id=2216189440
你的青春里有没有属于你的一首歌？,3895万,https://music.163.com/#/playlist?id=2201879658
点起一支烟，听一首粤语歌,1048万,https://music.163.com/#/playlist?id=2197936899
细数那些值得单曲循环的英文歌,877万,https://music.163.com/#/playlist?id=2193563343
后来的我们 唱着《后来》消失在人海,643万,https://music.163.com/#/playlist?id=2181695887
致回不去的校园，致那美好的曾经,1001万,https://music.163.com/#/playlist?id=2182683172
100个悲伤的瞬间，有没有你的心酸？,1522万,https://music.163.com/#/playlist?id=2179646633
熬夜和想你，我都该戒掉了,1919万,https://music.163.com/#/playlist?id=2163517726
论如何优雅的做个没有感情的大人,610万,https://music.163.com/#/playlist?id=2156205051
2018公告牌全球百大DJ/电音制作人！,976万,https://music.163.com/#/playlist?id=2153498917
我爱你 第一句是假的 第二句也是假的,1704万,https://music.163.com/#/playlist?id=2144281377
岁月如潮水，将我向老歌推,1730万,https://music.163.com/#/playlist?id=2139305008
节奏带感且深邃性感 ️️这才系Deep House呀,1313万,https://music.163.com/#/playlist?id=2139118830
歌词唱透了心声，回忆模糊了眼眸,2054万,https://music.163.com/#/playlist?id=2139324915
还记得你的梦想吗？别让你的梦只有想,965万,https://music.163.com/#/playlist?id=2219770152
遇见的都是天意 拥有的都是幸运,758万,https://music.163.com/#/playlist?id=2384642500
表白撩妹歌曲|你还害怕没有对象吗,570万,https://music.163.com/#/playlist?id=2235991473
这都是什么神仙翻唱,599万,https://music.163.com/#/playlist?id=2392861247
不好意思，我又想骗你们谈恋爱了,737万,https://music.163.com/#/playlist?id=2188765627
失落少年孤独心俱乐部,648万,https://music.163.com/#/playlist?id=2323596120
欧美精选 | 嗨 伙计 要来首10w＋吗？,612万,https://music.163.com/#/playlist?id=2301227992
风月无憾 | 你是我有关青春 最美的句读,569万,https://music.163.com/#/playlist?id=2324361508
我没有很想你，只是经常梦见你,707万,https://music.163.com/#/playlist?id=2172208421
我这么可爱 要不要试着喜欢我,672万,https://music.163.com/#/playlist?id=2261011675
我最大的遗憾，是你的遗憾与我有关,1033万,https://music.163.com/#/playlist?id=2201957752
